# synthetic scope export - see gen_synthetic.py (provenance: synthetic)
time_s,volts
0.000000,0.04051
0.000200,0.02701
0.000400,0.04662
0.000600,0.03860
0.000800,0.04724
0.001000,0.04344
0.001200,0.02354
0.001400,0.04284
0.001600,0.02485
0.001800,0.04052
0.002000,0.03966
0.002200,0.05468
0.002400,0.03722
0.002600,4.70142
0.002800,4.67838
0.003000,4.68572
0.003200,4.69438
0.003400,4.70172
0.003600,4.69876
0.003800,4.70843
0.004000,4.70289
0.004200,4.69326
0.004400,4.69288
0.004600,4.68574
0.004800,4.69599
0.005000,4.70091
0.005200,4.68110
0.005400,4.70328
0.005600,4.70012
0.005800,4.71298
0.006000,4.70696
0.006200,4.68780
0.006400,4.68765
0.006600,4.68038
0.006800,4.69561
0.007000,4.71555
0.007200,4.70123
0.007400,4.70645
0.007600,4.71156
0.007800,4.69038
0.008000,4.68191
0.008200,4.69398
0.008400,4.68681
0.008600,4.69000
0.008800,4.69844
0.009000,4.71318
0.009200,4.68326
0.009400,4.70038
0.009600,4.69017
0.009800,4.69079
0.010000,4.68336
0.010200,4.69669
0.010400,4.68632
0.010600,4.70173
0.010800,4.71029
0.011000,4.69119
0.011200,4.70881
0.011400,4.69333
0.011600,4.67085
0.011800,4.69618
0.012000,4.70563
0.012200,4.70165
0.012400,4.69821
0.012600,4.69775
0.012800,4.68389
0.013000,4.69961
0.013200,4.70768
0.013400,4.71386
0.013600,4.68612
0.013800,4.69534
0.014000,4.68232
0.014200,4.70627
0.014400,4.69205
0.014600,4.70173
0.014800,4.71374
0.015000,4.68893
0.015200,4.71836
0.015400,4.69822
0.015600,4.70237
0.015800,4.67989
0.016000,4.68235
0.016200,4.72407
0.016400,4.71522
0.016600,4.71562
0.016800,4.70752
0.017000,4.70466
0.017200,4.69559
0.017400,4.68538
0.017600,4.69513
0.017800,4.68127
0.018000,4.71517
0.018200,4.70154
0.018400,4.68544
0.018600,4.68665
0.018800,4.69170
0.019000,4.69943
0.019200,4.68671
0.019400,4.70919
0.019600,4.69680
0.019800,4.69899
0.020000,4.70878
0.020200,4.69159
0.020400,4.71580
0.020600,4.69174
0.020800,4.68655
0.021000,4.70253
0.021200,4.70787
0.021400,4.72696
0.021600,4.70700
0.021800,4.69148
0.022000,4.70259
0.022200,4.67148
0.022400,4.70936
0.022600,4.69703
0.022800,4.71679
0.023000,4.67659
0.023200,4.70530
0.023400,4.69595
0.023600,4.71232
0.023800,4.70605
0.024000,4.68472
0.024200,4.67550
0.024400,4.71115
0.024600,4.70197
0.024800,4.69932
0.025000,4.70135
0.025200,4.69800
0.025400,4.71482
0.025600,4.70077
0.025800,4.69009
0.026000,4.70391
0.026200,4.68937
0.026400,4.70558
0.026600,4.72060
0.026800,4.70329
0.027000,4.71485
0.027200,4.70323
0.027400,4.69148
0.027600,4.71337
0.027800,4.70196
0.028000,4.68268
0.028200,4.69552
0.028400,4.69074
0.028600,4.71206
0.028800,4.70355
0.029000,4.69910
0.029200,4.71493
0.029400,4.69021
0.029600,4.69767
0.029800,4.70832
0.030000,4.71215
0.030200,4.69051
0.030400,4.69801
0.030600,4.69950
0.030800,4.70197
0.031000,4.70612
0.031200,4.72482
0.031400,4.68984
0.031600,4.68257
0.031800,4.70290
0.032000,4.72660
0.032200,4.71984
0.032400,4.68122
0.032600,4.66289
0.032800,4.69750
0.033000,4.70460
0.033200,4.70098
0.033400,4.70420
0.033600,4.71878
0.033800,4.69922
0.034000,4.69870
0.034200,4.68819
0.034400,4.69346
0.034600,4.71847
0.034800,4.68895
0.035000,4.72753
0.035200,4.70970
0.035400,4.70130
0.035600,4.71426
0.035800,4.69305
0.036000,4.69387
0.036200,4.69280
0.036400,4.70525
0.036600,4.71487
0.036800,4.70799
0.037000,4.71810
0.037200,4.69579
0.037400,4.71953
0.037600,4.68567
0.037800,4.70360
0.038000,4.68720
0.038200,4.71718
0.038400,4.68861
0.038600,4.67825
0.038800,4.69238
0.039000,4.68760
0.039200,4.72002
0.039400,4.69742
0.039600,4.70544
0.039800,4.69824
0.040000,4.70215
0.040200,4.69221
0.040400,4.71470
0.040600,4.71823
0.040800,4.68420
0.041000,4.70406
0.041200,4.71098
0.041400,4.69457
0.041600,4.68429
0.041800,4.69098
0.042000,4.69632
0.042200,4.70088
0.042400,4.71687
0.042600,4.69672
0.042800,4.69625
0.043000,4.72250
0.043200,4.68030
0.043400,4.69176
0.043600,4.69371
0.043800,4.68501
0.044000,4.69247
0.044200,4.70308
0.044400,4.69835
0.044600,4.71229
0.044800,4.70032
0.045000,4.67637
0.045200,4.70417
0.045400,4.66992
0.045600,4.70252
0.045800,4.70177
0.046000,4.71601
0.046200,4.69947
0.046400,4.69956
0.046600,4.71362
0.046800,4.69319
0.047000,4.72442
0.047200,4.70556
0.047400,4.68253
0.047600,4.68916
0.047800,4.69105
0.048000,4.69558
0.048200,4.68939
0.048400,4.69362
0.048600,4.71107
0.048800,4.72518
0.049000,4.69733
0.049200,4.69565
